"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
65andup;hisp;5;50;12;38;85030.349785;2237.640784;Uncorrelated;4;37;36;38;3.607306;1.448878;2.489724;0.017998;-0.095933;0.037238;-2.576215;0.014652;-0.218565;0.075220;-2.905683;0.006497;5.917002;0.000000;0.102183;1.000000;0.000000;1.000000
65andup;hisp;5;50;12;38;85030.349785;2237.640784;Uncorrelated;5;41;39;44;-0.978180;0.319661;-3.060052;0.004374;0.015908;0.006896;2.306667;0.027491;0.111841;0.037871;2.953190;0.005758;0.005618;0.000000;0.000048;1.000000;0.000000;1.000000
65andup;multirace;0;50;2;48;4366.734401;90.973633;Uncorrelated;0;NA;NA;NA;-0.898489;0.014881;-60.380184;0.000000;0.000198;0.000483;0.409398;0.684069;NA;NA;NA;NA;0.000221;-0.000006;0.000000;1.000000;-0.882352;1.000000
65andup;nhopi;0;50;2;48;3442.531850;71.719414;Uncorrelated;0;NA;NA;NA;-0.296956;0.025680;-11.563801;0.000000;0.002946;0.000816;3.610862;0.000728;NA;NA;NA;NA;0.000659;-0.000019;0.000001;1.000000;-0.888260;1.000000
all_ages;aian;5;50;12;38;55.360999;1.456868;Uncorrelated;0;NA;NA;NA;0.064991;0.012260;5.301147;0.000008;-0.000404;0.000788;-0.513008;0.611363;NA;NA;NA;NA;0.000150;0.000000;2.049957;1.000000;0.000000;1.000000
all_ages;aian;5;50;12;38;55.360999;1.456868;Uncorrelated;1;27;25;28;-1.986794;1.073421;-1.850899;0.073153;0.075588;0.037641;2.008132;0.052872;0.075992;0.037649;2.018433;0.051734;0.000001;0.000000;0.001384;1.000000;0.000000;1.000000
all_ages;aian;5;50;12;38;55.360999;1.456868;Uncorrelated;2;30;29;32;0.186852;0.191813;0.974133;0.337077;0.003133;0.005685;0.551010;0.585338;-0.072455;0.038068;-1.903315;0.065753;1.152233;0.000000;0.236923;1.000000;0.000000;1.000000
all_ages;aian;5;50;12;38;55.360999;1.456868;Uncorrelated;3;37;34;38;2.258595;1.431767;1.577488;0.124223;-0.052860;0.037209;-1.420647;0.164800;-0.055993;0.037640;-1.487576;0.146357;0.001417;0.000000;0.000131;1.000000;0.000000;1.000000
all_ages;aian;5;50;12;38;55.360999;1.456868;Uncorrelated;4;40;38;42;-1.033170;0.486747;-2.122601;0.041378;0.029434;0.011424;2.576515;0.014642;0.082294;0.038923;2.114290;0.042131;0.036792;0.000000;0.141808;1.000000;0.000000;1.000000
all_ages;aian;5;50;12;38;55.360999;1.456868;Uncorrelated;5;45;42;48;1.371410;0.376573;3.641812;0.000918;-0.024001;0.007850;-3.057556;0.004402;-0.053435;0.013861;-3.855092;0.000507;0.000032;0.000000;0.000062;1.000000;0.000000;1.000000
all_ages;asian;5;50;12;38;483.748902;12.730234;Uncorrelated;0;NA;NA;NA;-0.664761;0.011867;-56.016330;0.000000;-0.001180;0.000827;-1.426212;0.163200;NA;NA;NA;NA;0.000141;0.000000;1.335903;1.000000;0.000000;1.000000
all_ages;asian;5;50;12;38;483.748902;12.730234;Uncorrelated;1;25;21;26;-2.798374;0.976655;-2.865264;0.007196;0.084165;0.036800;2.287100;0.028736;0.085345;0.036809;2.318567;0.026758;0.000001;0.000000;0.001055;1.000000;0.000000;1.000000
all_ages;asian;5;50;12;38;483.748902;12.730234;Uncorrelated;2;28;27;29;1.087468;0.250694;4.337837;0.000128;-0.054615;0.008091;-6.749899;0.000000;-0.138780;0.037679;-3.683231;0.000819;0.953854;0.000000;0.059272;1.000000;0.000000;1.000000
all_ages;asian;5;50;12;38;483.748902;12.730234;Uncorrelated;3;34;31;35;-4.667050;1.155813;-4.037895;0.000302;0.114635;0.032477;3.529743;0.001250;0.169251;0.033470;5.056822;0.000016;0.001354;0.000000;0.000036;1.000000;0.000000;1.000000
all_ages;asian;5;50;12;38;483.748902;12.730234;Uncorrelated;4;37;36;38;1.642193;0.243458;6.745295;0.000000;-0.055885;0.006033;-9.263414;0.000000;-0.170520;0.033033;-5.162181;0.000011;0.062847;0.000000;0.078395;1.000000;0.000000;1.000000
all_ages;asian;5;50;12;38;483.748902;12.730234;Uncorrelated;5;44;40;46;-2.566269;0.279991;-9.165538;0.000000;0.039762;0.005878;6.764479;0.000000;0.095647;0.008423;11.355430;0.000000;0.000065;0.000000;0.000035;1.000000;0.000000;1.000000
all_ages;black;3;50;8;42;2689.527473;64.036368;Uncorrelated;0;NA;NA;NA;0.179631;0.017773;10.107074;0.000000;-0.000312;0.001240;-0.251415;0.802813;NA;NA;NA;NA;0.000316;0.000000;0.256932;1.000000;0.000000;1.000000
all_ages;black;3;50;8;42;2689.527473;64.036368;Uncorrelated;1;25;23;26;-2.254117;1.504426;-1.498324;0.142100;0.097038;0.056679;1.712058;0.094828;0.097350;0.056693;1.717148;0.093885;0.000002;0.000000;0.000276;1.000000;0.000000;1.000000
all_ages;black;3;50;8;42;2689.527473;64.036368;Uncorrelated;2;28;27;29;1.596779;0.506884;3.150186;0.003129;-0.040494;0.016612;-2.437645;0.019444;-0.137532;0.059063;-2.328547;0.025159;2.263298;0.000000;0.005993;1.000000;0.000000;1.000000
all_ages;black;3;50;8;42;2689.527473;64.036368;Uncorrelated;3;33;30;37;0.371524;0.077413;4.799246;0.000024;-0.003365;0.001835;-1.834212;0.074260;0.037129;0.016713;2.221575;0.032186;0.003213;0.000000;0.000003;1.000000;0.000000;1.000000
all_ages;hisp;5;50;12;38;1816.178306;47.794166;Uncorrelated;0;NA;NA;NA;-0.354524;0.024644;-14.385636;0.000000;0.000628;0.001713;0.366733;0.716159;NA;NA;NA;NA;0.000607;0.000000;4.968690;1.000000;0.000000;1.000000
all_ages;hisp;5;50;12;38;1816.178306;47.794166;Uncorrelated;1;25;21;28;-1.925566;0.476110;-4.044368;0.000297;0.063470;0.016926;3.749870;0.000680;0.062842;0.017012;3.693892;0.000795;0.000003;0.000000;0.003926;1.000000;0.000000;1.000000
all_ages;hisp;5;50;12;38;1816.178306;47.794166;Uncorrelated;2;31;30;32;3.464914;2.281341;1.518805;0.138335;-0.110417;0.070293;-1.570810;0.125767;-0.173886;0.072302;-2.405006;0.021940;0.226681;0.000000;6.856960;1.000000;0.000000;1.000000
all_ages;hisp;5;50;12;38;1816.178306;47.794166;Uncorrelated;3;34;33;35;-4.666613;2.229056;-2.093538;0.044065;0.128746;0.062654;2.054873;0.047878;0.239163;0.094163;2.539889;0.015981;0.000286;0.000000;0.004634;1.000000;0.000000;1.000000
all_ages;hisp;5;50;12;38;1816.178306;47.794166;Uncorrelated;4;37;36;38;4.767490;2.618580;1.820640;0.077741;-0.126230;0.068074;-1.854313;0.072650;-0.254976;0.092518;-2.755965;0.009455;5.204519;0.000000;0.063747;1.000000;0.000000;1.000000
all_ages;hisp;5;50;12;38;1816.178306;47.794166;Uncorrelated;5;40;39;43;-0.722900;0.252482;-2.863174;0.007234;0.011030;0.005513;2.000826;0.053693;0.137260;0.068296;2.009763;0.052691;0.004941;0.000000;0.000030;1.000000;0.000000;1.000000
all_ages;multirace;0;50;2;48;76.805090;1.600106;Uncorrelated;0;NA;NA;NA;-0.812340;0.011774;-68.996015;0.000000;0.001203;0.000380;3.168759;0.002664;NA;NA;NA;NA;0.000139;-0.000004;0.000000;1.000000;-0.884711;1.000000
all_ages;nhopi;0;50;2;48;79.685539;1.660115;Uncorrelated;0;NA;NA;NA;-0.151091;0.022451;-6.729845;0.000000;0.005119;0.000705;7.258008;0.000000;NA;NA;NA;NA;0.000504;-0.000014;0.000000;1.000000;-0.891615;1.000000
under65;aian;6;50;14;36;41.533503;1.153708;Uncorrelated;0;NA;NA;NA;0.515724;0.012429;41.493251;0.000000;0.001423;0.000801;1.775490;0.085964;NA;NA;NA;NA;0.000154;0.000000;0.000295;1.000000;0.000000;1.000000
under65;aian;6;50;14;36;41.533503;1.153708;Uncorrelated;1;27;3;28;-2.130829;1.092047;-1.951224;0.060424;0.099443;0.038272;2.598312;0.014385;0.098020;0.038281;2.560578;0.015724;0.000001;0.000000;2.043727;1.000000;0.000000;1.000000
under65;aian;6;50;14;36;41.533503;1.153708;Uncorrelated;2;30;25;32;1.557135;1.104397;1.409941;0.168841;-0.023489;0.035089;-0.669417;0.508349;-0.122932;0.051923;-2.367594;0.024550;1.192567;0.000000;0.001379;1.000000;0.000000;1.000000
under65;aian;6;50;14;36;41.533503;1.153708;Uncorrelated;3;33;29;38;-0.129772;0.602732;-0.215306;0.830986;0.027629;0.017187;1.607592;0.118400;0.051118;0.039072;1.308320;0.200700;0.001465;0.000000;0.591003;1.000000;0.000000;1.000000
