"age_grp";"race";"Model"
65andup;aian;4
65andup;asian;5
65andup;black;4
65andup;hisp;5
65andup;multirace;0
65andup;nhopi;0
all_ages;aian;5
all_ages;asian;5
all_ages;black;4
all_ages;hisp;5
all_ages;multirace;0
all_ages;nhopi;0
under65;aian;5
under65;asian;5
under65;black;2
under65;hisp;5
under65;multirace;0
under65;nhopi;4
